time,latitude,longitude,altitude
2018-11-07 00:40:56+00:00,-31.984057305380702,115.76817948371172,9.600000381469727
2018-11-07 00:41:01+00:00,-31.983944987878203,115.76835030689836,10.0
2018-11-07 00:41:05+00:00,-31.983813475817442,115.76846715062857,9.600000381469727
2018-11-07 00:41:13+00:00,-31.98362530209124,115.76877795159817,9.399999618530273
2018-11-07 00:41:21+00:00,-31.98350317776203,115.76907433569431,9.600000381469727
2018-11-07 00:41:23+00:00,-31.983477948233485,115.76914868317544,10.199999809265137
2018-11-07 00:41:26+00:00,-31.98345171287656,115.7692600786686,10.800000190734863
2018-11-07 00:41:32+00:00,-31.983416005969048,115.76951312832534,11.0
2018-11-07 00:41:40+00:00,-31.983363032341003,115.76983407139778,10.800000190734863
2018-11-07 00:41:44+00:00,-31.983303353190422,115.7700230833143,10.600000381469727
2018-11-07 00:41:47+00:00,-31.983244931325316,115.77017412520945,10.600000381469727
2018-11-07 00:41:55+00:00,-31.98310880921781,115.77062356285751,9.399999618530273
2018-11-07 00:41:58+00:00,-31.983072850853205,115.77079455368221,8.800000190734863
2018-11-07 00:42:00+00:00,-31.983047537505627,115.77091458253562,8.600000381469727
2018-11-07 00:42:01+00:00,-31.983038065955043,115.77096956782043,8.399999618530273
2018-11-07 00:42:04+00:00,-31.98298752307892,115.77115690335631,7.599999904632568
2018-11-07 00:42:06+00:00,-31.98294611647725,115.77127064578235,7.400000095367432
2018-11-07 00:42:07+00:00,-31.982925832271576,115.77132537961006,7.199999809265137
2018-11-07 00:42:11+00:00,-31.98283170349896,115.77154414728284,5.599999904632568
2018-11-07 00:42:14+00:00,-31.982734221965075,115.77169518917799,4.800000190734863
2018-11-07 00:42:16+00:00,-31.98264805600047,115.77179216779768,4.599999904632568
2018-11-07 00:42:17+00:00,-31.98260840959847,115.77184740453959,4.400000095367432
2018-11-07 00:42:21+00:00,-31.982474299147725,115.7720453850925,3.5999999046325684
2018-11-07 00:42:22+00:00,-31.982453428208828,115.77210506424308,3.4000000953674316
2018-11-07 00:42:24+00:00,-31.982413111254573,115.7722250930965,2.799999952316284
2018-11-07 00:42:28+00:00,-31.982327364385128,115.77248845249414,2.4000000953674316
2018-11-07 00:42:32+00:00,-31.98226290754974,115.77271208167076,1.600000023841858
2018-11-07 00:42:33+00:00,-31.98224740102887,115.77276807278395,1.2000000476837158
2018-11-07 00:42:35+00:00,-31.98221898637712,115.77287921682,1.0
2018-11-07 00:42:41+00:00,-31.982148494571447,115.773212229833,0.4000000059604645
2018-11-07 00:42:42+00:00,-31.98213583789766,115.77327107079327,0.4000000059604645
2018-11-07 00:42:43+00:00,-31.98212318122387,115.77332857064903,0.4000000059604645
2018-11-07 00:42:45+00:00,-31.98209040798247,115.77343921177089,0.4000000059604645
2018-11-07 00:42:51+00:00,-31.982015557587147,115.77371581457555,0.4000000059604645
