userId,unixTime,latitude,longitude,speed

hanFinal,1634525981419.0,-31.9463613,115.8612756,0.0
hanFinal,1634526042360.0,-31.9463602,115.8612775,0.0
hanFinal,1634526105199.0,-31.9463592,115.8612655,0.0
hanFinal,1634526166434.0,-31.9463501,115.8612404,0.0
hanFinal,1634526226499.0,-31.9463681,115.8612624,0.0
hanFinal,1634526290617.0,-31.9463534,115.8612634,0.0
hanFinal,1634526356528.0,-31.9463695,115.8612811,0.0
hanFinal,1634526416554.0,-31.946365,115.8612877,0.0
hanFinal,1634526476610.0,-31.9463745,115.8612679,0.0
hanFinal,1634526536619.0,-31.9463724,115.8612592,0.0
hanFinal,1634526596749.0,-31.9463786,115.8612758,0.0
hanFinal,1634526716823.0,-31.946364,115.8612677,0.0
hanFinal,1634526837340.0,-31.9463546,115.861266,0.0
hanFinal,1634526957548.0,-31.9463685,115.861283,0.0
hanFinal,1634527077605.0,-31.9463774,115.8612765,0.0
hanFinal,1634527137665.0,-31.9463624,115.8612827,0.08800697326660156
hanFinal,1634527256690.0,-31.9463616,115.8612728,0.0
hanFinal,1634527318426.0,-31.9463477,115.8612562,0.0
hanFinal,1634527383749.0,-31.9463723,115.8612702,0.0
hanFinal,1634527443753.0,-31.9463455,115.8612637,0.0
hanFinal,1634527503862.0,-31.9463431,115.8612726,0.0
hanFinal,1634527623920.0,-31.9463603,115.8612576,0.0
hanFinal,1634527745023.0,-31.9463106,115.861399,0.0
hanFinal,1634527805187.0,-31.9463298,115.8614495,0.0
hanFinal,1634527868000.0,-31.9461883,115.86196,1.857117772102356
hanFinal,1634527930000.0,-31.94648,115.8622533,0.0
hanFinal,1634527991627.0,-31.9468019,115.862395,2.3308863639831543
hanFinal,1634528054000.0,-31.946755,115.8626067,0.0
hanFinal,1634528120757.0,-31.9468608,115.862328,0.0
